ID,Sex,Height,Weight,feet,inches,height,weight,bmi
A00147,Male,5 ft. 07 in.,185 lbs.,5,7,67,185,28.97
A00198,Male,6 ft. 02 in.,190 lbs.,6,2,74,190,24.39
A00360,Male,5 ft. 09 in.,167 lbs.,5,9,69,167,24.66
A00367,Male,6 ft. 00 in.,245 lbs.,6,0,72,245,33.22
A01054,Male,5 ft. 07 in.,166 lbs.,5,7,67,166,26.00
A01072,Male,5 ft. 09 in.,195 lbs.,5,9,69,195,28.79
A01077,Male,5 ft. 08 in.,180 lbs.,5,8,68,180,27.37
A01148,Male,5 ft. 11 in.,170 lbs.,5,11,71,170,23.71
A01157,Male,6 ft. 00 in.,207 lbs.,6,0,72,207,28.07
A01181,Male,5 ft. 11 in.,191 lbs.,5,11,71,191,26.64
A01237,Male,6 ft. 01 in.,194 lbs.,6,1,73,194,25.59
A01258,Male,5 ft. 08 in.,150 lbs.,5,8,68,150,22.80
A01285,Male,5 ft. 08 in.,187 lbs.,5,8,68,187,28.43
A01324,Male,5 ft. 06 in.,225 lbs.,5,6,66,225,36.31
A01349,Male,5 ft. 11 in.,215 lbs.,5,11,71,215,29.98
A01356,Male,5 ft. 08 in.,214 lbs.,5,8,68,214,32.54
A01365,Male,6 ft. 01 in.,207 lbs.,6,1,73,207,27.31
A01399,Male,5 ft. 08 in.,181 lbs.,5,8,68,181,27.52
A01411,Male,5 ft. 09 in.,194 lbs.,5,9,69,194,28.65
A01422,Male,6 ft. 00 in.,150 lbs.,6,0,72,150,20.34
A01457,Male,5 ft. 08 in.,231 lbs.,5,8,68,231,35.12
A01467,Male,5 ft. 10 in.,169 lbs.,5,10,70,169,24.25
A01531,Male,5 ft. 09 in.,185 lbs.,5,9,69,185,27.32
A01615,Male,6 ft. 03 in.,185 lbs.,6,3,75,185,23.12
A01627,Male,5 ft. 06 in.,212 lbs.,5,6,66,212,34.21
A01676,Male,5 ft. 09 in.,160 lbs.,5,9,69,160,23.63
A01680,Male,5 ft. 10 in.,160 lbs.,5,10,70,160,22.96
A01681,Male,5 ft. 09 in.,145 lbs.,5,9,69,145,21.41
A01694,Male,5 ft. 07 in.,140 lbs.,5,7,67,140,21.92
A01729,Male,5 ft. 10 in.,220 lbs.,5,10,70,220,31.56
A01736,Male,5 ft. 06 in.,179 lbs.,5,6,66,179,28.89
A01747,Male,5 ft. 11 in.,220 lbs.,5,11,71,220,30.68
A01759,Male,5 ft. 09 in.,156 lbs.,5,9,69,156,23.03
A01796,Male,5 ft. 03 in.,167 lbs.,5,3,63,167,29.58
A01806,Male,6 ft. 01 in.,216 lbs.,6,1,73,216,28.49
A01815,Male,5 ft. 08 in.,225 lbs.,5,8,68,225,34.21
A01824,Male,6 ft. 00 in.,210 lbs.,6,0,72,210,28.48
A01834,Male,6 ft. 03 in.,200 lbs.,6,3,75,200,25.00
A01860,Male,5 ft. 09 in.,204 lbs.,5,9,69,204,30.12
A01889,Male,5 ft. 05 in.,210 lbs.,5,5,65,210,34.94
A01906,Male,5 ft. 09 in.,115 lbs.,5,9,69,115,16.98
A01929,Male,5 ft. 08 in.,156 lbs.,5,8,68,156,23.72
A01939,Male,5 ft. 11 in.,184 lbs.,5,11,71,184,25.66
A01950,Male,5 ft. 09 in.,251 lbs.,5,9,69,251,37.06
A01990,Male,6 ft. 01 in.,190 lbs.,6,1,73,190,25.06
A01996,Male,5 ft. 10 in.,151 lbs.,5,10,70,151,21.66
A02005,Male,5 ft. 08 in.,130 lbs.,5,8,68,130,19.76
A02008,Male,5 ft. 06 in.,150 lbs.,5,6,66,150,24.21
A02049,Male,5 ft. 09 in.,143 lbs.,5,9,69,143,21.12
A02074,Male,5 ft. 10 in.,215 lbs.,5,10,70,215,30.85
A02079,Male,5 ft. 06 in.,184 lbs.,5,6,66,184,29.70
A02088,Male,5 ft. 09 in.,185 lbs.,5,9,69,185,27.32
A02099,Male,5 ft. 09 in.,160 lbs.,5,9,69,160,23.63
A02133,Male,5 ft. 08 in.,145 lbs.,5,8,68,145,22.04
A02232,Male,5 ft. 07 in.,140 lbs.,5,7,67,140,21.92
A02244,Male,6 ft. 02 in.,190 lbs.,6,2,74,190,24.39
A02270,Male,6 ft. 06 in.,244 lbs.,6,6,78,244,28.19
A02306,Male,5 ft. 10 in.,154 lbs.,5,10,70,154,22.09
A02312,Male,5 ft. 06 in.,165 lbs.,5,6,66,165,26.63
A02350,Male,5 ft. 11 in.,154 lbs.,5,11,71,154,21.48
A02376,Male,5 ft. 09 in.,203 lbs.,5,9,69,203,29.97
A02436,Male,6 ft. 02 in.,200 lbs.,6,2,74,200,25.68
A06045,Male,6 ft. 03 in.,200 lbs.,6,3,75,200,25.00
A06264,Male,5 ft. 09 in.,190 lbs.,5,9,69,190,28.06
A06342,Male,5 ft. 06 in.,206 lbs.,5,6,66,206,33.25
A08064,Male,5 ft. 07 in.,217 lbs.,5,7,67,217,33.98
A08086,Male,5 ft. 11 in.,224 lbs.,5,11,71,224,31.24
A08095,Male,5 ft. 06 in.,127 lbs.,5,6,66,127,20.50
A08141,Male,5 ft. 10 in.,300 lbs.,5,10,70,300,43.04
A08225,Male,5 ft. 06 in.,115 lbs.,5,6,66,115,18.56
A08230,Male,5 ft. 07 in.,145 lbs.,5,7,67,145,22.71
A08240,Male,5 ft. 10 in.,195 lbs.,5,10,70,195,27.98
A08307,Male,6 ft. 00 in.,200 lbs.,6,0,72,200,27.12
A10002,Male,5 ft. 11 in.,175 lbs.,5,11,71,175,24.40
A10008,Male,5 ft. 11 in.,226 lbs.,5,11,71,226,31.52
A10037,Male,5 ft. 09 in.,132 lbs.,5,9,69,132,19.49
A10133,Male,5 ft. 11 in.,230 lbs.,5,11,71,230,32.07
A10157,Male,6 ft. 00 in.,180 lbs.,6,0,72,180,24.41
A10165,Male,5 ft. 09 in.,223 lbs.,5,9,69,223,32.93
A10203,Male,5 ft. 10 in.,196 lbs.,5,10,70,196,28.12
A10300,Male,5 ft. 06 in.,188 lbs.,5,6,66,188,30.34
A10307,Male,5 ft. 11 in.,165 lbs.,5,11,71,165,23.01
A10309,Male,5 ft. 00 in.,202 lbs.,5,0,60,202,39.45
A10388,Male,5 ft. 05 in.,167 lbs.,5,5,65,167,27.79
A10397,Male,5 ft. 09 in.,195 lbs.,5,9,69,195,28.79
A10398,Male,5 ft. 07 in.,134 lbs.,5,7,67,134,20.99
A10410,Male,5 ft. 06 in.,190 lbs.,5,6,66,190,30.66
A10413,Male,5 ft. 06 in.,185 lbs.,5,6,66,185,29.86
A10447,Male,5 ft. 08 in.,180 lbs.,5,8,68,180,27.37
A10459,Male,5 ft. 11 in.,155 lbs.,5,11,71,155,21.62
A10465,Male,6 ft. 01 in.,228 lbs.,6,1,73,228,30.08
A10480,Male,5 ft. 07 in.,145 lbs.,5,7,67,145,22.71
A10487,Male,5 ft. 08 in.,212 lbs.,5,8,68,212,32.23
A10506,Male,5 ft. 08 in.,152 lbs.,5,8,68,152,23.11
A10508,Male,5 ft. 05 in.,269 lbs.,5,5,65,269,44.76
A10510,Male,5 ft. 11 in.,185 lbs.,5,11,71,185,25.80
A10514,Male,5 ft. 10 in.,155 lbs.,5,10,70,155,22.24
A10574,Male,5 ft. 06 in.,170 lbs.,5,6,66,170,27.44
A10582,Male,5 ft. 06 in.,145 lbs.,5,6,66,145,23.40
A10628,Male,5 ft. 06 in.,140 lbs.,5,6,66,140,22.59
A10654,Male,5 ft. 08 in.,220 lbs.,5,8,68,220,33.45
A10656,Male,5 ft. 03 in.,144 lbs.,5,3,63,144,25.51
A10695,Male,5 ft. 09 in.,248 lbs.,5,9,69,248,36.62
A10763,Male,5 ft. 10 in.,199 lbs.,5,10,70,199,28.55
A10859,Male,5 ft. 11 in.,230 lbs.,5,11,71,230,32.07
A10883,Male,5 ft. 10 in.,180 lbs.,5,10,70,180,25.82
A10913,Male,6 ft. 03 in.,150 lbs.,6,3,75,150,18.75
A10935,Male,5 ft. 08 in.,145 lbs.,5,8,68,145,22.04
A10936,Male,5 ft. 07 in.,126 lbs.,5,7,67,126,19.73
A10938,Male,6 ft. 00 in.,204 lbs.,6,0,72,204,27.66
A10939,Male,6 ft. 02 in.,244 lbs.,6,2,74,244,31.32
A10940,Male,5 ft. 10 in.,200 lbs.,5,10,70,200,28.69
A10951,Male,5 ft. 09 in.,182 lbs.,5,9,69,182,26.87
A10970,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
A11005,Male,5 ft. 10 in.,258 lbs.,5,10,70,258,37.02
A11030,Male,5 ft. 09 in.,175 lbs.,5,9,69,175,25.84
A11128,Male,5 ft. 08 in.,150 lbs.,5,8,68,150,22.80
A15031,Male,6 ft. 04 in.,200 lbs.,6,4,76,200,24.34
A15096,Male,5 ft. 06 in.,190 lbs.,5,6,66,190,30.66
A15110,Male,5 ft. 11 in.,175 lbs.,5,11,71,175,24.40
A15155,Male,6 ft. 01 in.,202 lbs.,6,1,73,202,26.65
A15167,Male,6 ft. 00 in.,180 lbs.,6,0,72,180,24.41
A15172,Male,5 ft. 10 in.,236 lbs.,5,10,70,236,33.86
A15182,Male,5 ft. 09 in.,190 lbs.,5,9,69,190,28.06
A15205,Male,5 ft. 11 in.,196 lbs.,5,11,71,196,27.33
A15210,Male,5 ft. 10 in.,250 lbs.,5,10,70,250,35.87
A15211,Male,5 ft. 06 in.,187 lbs.,5,6,66,187,30.18
A15212,Male,5 ft. 07 in.,150 lbs.,5,7,67,150,23.49
A15243,Male,5 ft. 09 in.,148 lbs.,5,9,69,148,21.85
A15306,Male,5 ft. 09 in.,212 lbs.,5,9,69,212,31.30
A15324,Male,6 ft. 01 in.,230 lbs.,6,1,73,230,30.34
A15336,Male,5 ft. 10 in.,203 lbs.,5,10,70,203,29.12
A15347,Male,5 ft. 09 in.,245 lbs.,5,9,69,245,36.18
A15380,Male,5 ft. 10 in.,210 lbs.,5,10,70,210,30.13
A15385,Male,5 ft. 06 in.,145 lbs.,5,6,66,145,23.40
A15421,Male,6 ft. 02 in.,185 lbs.,6,2,74,185,23.75
A15423,Male,5 ft. 09 in.,225 lbs.,5,9,69,225,33.22
A15491,Male,6 ft. 00 in.,224 lbs.,6,0,72,224,30.38
A15497,Male,5 ft. 10 in.,162 lbs.,5,10,70,162,23.24
A15561,Male,6 ft. 01 in.,218 lbs.,6,1,73,218,28.76
A15580,Male,5 ft. 06 in.,220 lbs.,5,6,66,220,35.51
A15583,Male,5 ft. 09 in.,139 lbs.,5,9,69,139,20.52
A15590,Male,6 ft. 00 in.,178 lbs.,6,0,72,178,24.14
A15602,Male,5 ft. 06 in.,150 lbs.,5,6,66,150,24.21
A15612,Male,6 ft. 01 in.,242 lbs.,6,1,73,242,31.92
A15639,Male,5 ft. 11 in.,175 lbs.,5,11,71,175,24.40
A15644,Male,5 ft. 07 in.,195 lbs.,5,7,67,195,30.54
A15655,Male,5 ft. 04 in.,135 lbs.,5,4,64,135,23.17
A15657,Male,5 ft. 09 in.,200 lbs.,5,9,69,200,29.53
A15702,Male,5 ft. 09 in.,155 lbs.,5,9,69,155,22.89
A15763,Male,6 ft. 01 in.,240 lbs.,6,1,73,240,31.66
A15776,Male,5 ft. 11 in.,198 lbs.,5,11,71,198,27.61
A15810,Male,5 ft. 11 in.,154 lbs.,5,11,71,154,21.48
A15828,Male,5 ft. 07 in.,150 lbs.,5,7,67,150,23.49
A15829,Male,5 ft. 11 in.,145 lbs.,5,11,71,145,20.22
A15834,Male,6 ft. 01 in.,176 lbs.,6,1,73,176,23.22
A15856,Male,6 ft. 03 in.,235 lbs.,6,3,75,235,29.37
A20093,Male,6 ft. 00 in.,180 lbs.,6,0,72,180,24.41
A20097,Male,5 ft. 09 in.,175 lbs.,5,9,69,175,25.84
A25050,Male,5 ft. 09 in.,150 lbs.,5,9,69,150,22.15
A25088,Male,5 ft. 09 in.,177 lbs.,5,9,69,177,26.14
